FID;Loading_Month;PoleHeight;PoleMateri;BPC_No;PoleType;Subtype;OperatingV;SizeForCon;Configurat;Enabled;PoleStruct;DualStatus;Grounded;Services3p;ServicesU1;ServicesO;WireSuppor;WirestayNo;PoleSuppor;VoltageFor;WoNumber;ID;ServicesU
0;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;1;;3;1;0;1;1;5102762;0; 
1;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;;;;1;0;1;1;5102762;0; 
2;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0;;2;;1;0;1;1;5105838;0; 
3;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;1;;1;1;1;1;5105838;0; 
4;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;2;1;1;364584;0; 
5;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;2;0;1;1;364584;0; 
6;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;5106017;0; 
7;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0;;1;;1;0;1;1;5106017;0; 
8;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0;;1;;1;0;1;1;5107535;0; 
9;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;5107535;0; 
10;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;1;;1;1;1;1;40421977;0; 
11;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;0;2;1;40421977;0; 
12;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0;;1;;1;0;1;1;5104537;0; 
13;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;2;1;5104537;0; 
14;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;INTER/ANGLE;4;1;1;;;1;1;1;7;362804;0; 
15;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;INTER/ANGLE;1;0;;1;;1;0;2;7;362804;0; 
16;April;9;Wood; ;LV;Pole;400;50sqmm;1;1;INTER/ANGLE;7;0;;1;;1;0;2;1;383601;0; 
17;April;9;Wood; ;LV;Pole;400;50sqmm;1;1;INTER/ANGLE;7;0;;1;;1;0;2;1;383601;0; 
18;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;473007;0; 
19;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0;;1;;1;0;1;1;473007;0; 
20;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;1;;;1;1;1;1;473129;0; 
21;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;1;;;1;1;1;1;473129;0; 
22;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;5087457;0; 
23;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;0;;1;;1;0;2;1;5087457;0; 
24;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;2;0;1;1;5107195;0; 
25;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;1;;;1;1;1;1;5107195;0; 
26;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;2;0;2;1;40376793;0; 
27;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;1;;1;1;1;1;40376793;0; 
28;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;40462255;0; 
29;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;40462255;0; 
30;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;;1;1;1;1;1;456785;1; 
31;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;2;1;1;1;1;1;456785;2; 
32;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;INTERMEDIATE;2;1;;1;1;1;0;1;7;458177;1; 
33;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;T/OFF;3;1;;;;1;0;1;7;458177;2; 
34;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;;3;;1;0;1;1;460520;1; 
35;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;T/OFF;7;1;;;;1;1;2;1;460520;2; 
36;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;T/OFF;3;1;;;;1;0;1;7;462857;1; 
37;April;11;Wood; ;Dual;Pole;11000;25/50 sqmm;3BC/ABC;1;INTER/ANGLE;2;1;;1;;2;0;1;7;462857;2; 
38;April;; ; ;LV; ;400; ; ; ;INTER/ANGLE;; ;;;; ; ; ;; ;0; 
39;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;1;;1;1;1;1;395630;1; 
40;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7; ;;;;1;0;1;1;395630;2; 
