FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
0;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;466268;No Stay;9;No Wire stay;7;2; ; ;0
1;May; ;3BC/ABC;TRUE;YES;Wood;11000;T/OFF;None;Dual;Pole; ;50/50 sqmm;3;467764;No Stay;11;1 Wire stay;7;None; ; ;0
2;May; ;3BC/ABC;TRUE;NO;Wood;11000;STRAIN;Strut Pole;Dual;Pole; ;50/50 sqmm;3;467764;Out Rigger Stay;11;No Wire stay;7;None; ; ;0
3;May; ;3BC/ABC;TRUE;NO;Wood;11000;STRAIN;None;Dual;Pole; ;50/50 sqmm;3;467764;Double OutRigger Stay;11;No Wire stay;7;None; ; ;0
4;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;467764;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
5;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;467764;No Stay;9;No Wire stay;7;None; ; ;0
6;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;467764;No Stay;9;No Wire stay;7;None; ; ;0
7;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;467764;No Stay;9;No Wire stay;7;None; ; ;0
8;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;467764;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
9;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;467764;No Stay;9;1 Wire stay;7;1; ; ;0
10;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;467766;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
11;May; ;ABC;TRUE;NO;Wood;400;T/OFF;Strut Pole;LV;Pole; ;50 sqmm;1;472536;No Stay;9;No Wire stay;7;2; ; ;0
12;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;477519;No Stay;9;No Wire stay;7;1; ; ;0
