FID;Loaded_By;Loading_Month;VoltageFor;SizeForCon;TypeForCon;sub;Type
0;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
1;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
2;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
3;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
4;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
5;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
6;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
7;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
8;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
9;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
10;Christopher Masukume;May;11000V;50sqmm; ; ;HV
11;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
12;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
13;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
14;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
15;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
16;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
17;Christopher Masukume;May;11000V;50sqmm; ; ;HV
18;Christopher Masukume;May;11000V;25sqmm;Gopher; ;Dual
19;Christopher Masukume;May;11000V;25sqmm;Gopher; ;HV
20;Christopher Masukume;May;11000V;25sqmm;Gopher; ;HV
21;Christopher Masukume;May;11000V;25sqmm;Gopher; ;Dual
22;Christopher Masukume;May;11000V;25sqmm;Gopher; ;Dual
23;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
24;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
25;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
26;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
27;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
28;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
29;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
30;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
31;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
32;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
33;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
34;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
35;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
36;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
37;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
38;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
39;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
40;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
41;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
42;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
43;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
44;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
45;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
46;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
47;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
48;Christopher Masukume;May;11000V;50sqmm; ; ;Dual
