FID;Loading_Month;Loaded_By;VoltageFor;SizeForCon;Type;sub
0;May;Christopher Masukume;240V;16 sqmm; ; 
1;May;Christopher Masukume;240V;16 sqmm; ; 
2;May;Christopher Masukume;240V;16 sqmm; ; 
3;May;Christopher Masukume;240V;16 sqmm; ; 
4;May;Christopher Masukume;240V;16 sqmm; ; 
5;May;Christopher Masukume;240V;16 sqmm; ; 
6;May;Christopher Masukume;240V;16 sqmm; ; 
7;May;Christopher Masukume;240V;16 sqmm; ; 
8;May;Christopher Masukume;240V;16 sqmm; ; 
9;May;Christopher Masukume;240V;16 sqmm; ; 
10;May;Christopher Masukume;240V;16 sqmm; ; 
11;May;Christopher Masukume;240V;16 sqmm; ; 
12;May;Christopher Masukume;240V;16 sqmm; ; 
13;May;Christopher Masukume;240V;16 sqmm; ; 
14;May;Christopher Masukume;240V;16 sqmm; ; 
15;May;Christopher Masukume;240V;16 sqmm; ; 
16;May;Christopher Masukume;240V;16 sqmm; ; 
17;May;Christopher Masukume;240V;16 sqmm; ; 
18;May;Christopher Masukume;240V;16 sqmm; ; 
19;May;Christopher Masukume;240V;16 sqmm; ; 
20;May;Christopher Masukume;240V;16 sqmm; ; 
21;May;Christopher Masukume;240V;16 sqmm; ; 
22;May;Christopher Masukume;240V;16 sqmm; ; 
23;May;Christopher Masukume;240V;16 sqmm; ; 
24;May;Christopher Masukume;240V;16 sqmm; ; 
25;May;Christopher Masukume;240V;16 sqmm; ; 
26;May;Christopher Masukume;240V;16 sqmm; ; 
27;May;Christopher Masukume;240V;16 sqmm; ; 
28;May;Christopher Masukume;240V;16 sqmm;2; 
29;May;Christopher Masukume;240V;16 sqmm;2; 
30;May;Christopher Masukume;240V;16 sqmm;2; 
31;May;Christopher Masukume;240V;16 sqmm;2; 
32;May;Christopher Masukume;240V;16 sqmm;2; 
33;May;Christopher Masukume;240V;16 sqmm;1; 
34;May;Christopher Masukume;240V;16 sqmm;1; 
35;May;Christopher Masukume;240V;16 sqmm;1; 
36;May;Christopher Masukume;240V;16 sqmm;2; 
37;May;Christopher Masukume;240V;16 sqmm;2; 
38;May;Christopher Masukume;240V;16 sqmm;2; 
39;May;Christopher Masukume;240V;16 sqmm;2; 
40;May;Christopher Masukume;240V;16 sqmm;2; 
41;May;Christopher Masukume;240V;16 sqmm;CABLE; 
42;May;Christopher Masukume;240V;16 sqmm;1; 
43;May;Christopher Masukume;240V;16 sqmm;1; 
44;May;Christopher Masukume;240V;16 sqmm;2; 
45;May;Christopher Masukume;240V;16 sqmm;2; 
46;May;Christopher Masukume;240V;16 sqmm;2; 
47;May;Christopher Masukume;240V;16 sqmm;1; 
48;May;Christopher Masukume;240V;16 sqmm;2; 
49;May;Christopher Masukume;240V;16 sqmm;2; 
50;May;Christopher Masukume;240V;16 sqmm;2; 
51;May;Christopher Masukume;240V;16 sqmm;2; 
52;May;Christopher Masukume;240V;16 sqmm;2; 
53;May;Christopher Masukume;240V;16 sqmm;2; 
54;May;Christopher Masukume;240V;16 sqmm;1; 
55;May;Christopher Masukume;240V;16 sqmm;1; 
56;May;Christopher Masukume;240V;16 sqmm;1; 
57;May;Christopher Masukume;240V;16 sqmm;1; 
58;May;Christopher Masukume;240V;16 sqmm;1; 
59;May;Christopher Masukume;240V;16 sqmm;1; 
60;May;Christopher Masukume;240V;16 sqmm;1; 
61;May;Christopher Masukume;240V;16 sqmm; ; 
62;May;Christopher Masukume;240V;16 sqmm; ; 
63;May;Christopher Masukume;240V;16 sqmm; ; 
64;May;Christopher Masukume;240V;16 sqmm; ; 
65;May;Christopher Masukume;240V;16 sqmm; ; 
66;May;Christopher Masukume;240V;16 sqmm; ; 
67;May;Christopher Masukume;240V;16 sqmm; ; 
68;May;Christopher Masukume;240V;16 sqmm; ; 
69;May;Christopher Masukume;240V;16 sqmm; ; 
70;May;Christopher Masukume;240V;16 sqmm; ; 
71;May;Christopher Masukume;240V;16 sqmm; ; 
72;May;Christopher Masukume;240V;16 sqmm; ; 
73;May;Christopher Masukume;240V;16 sqmm; ; 
74;May;Christopher Masukume;240V;16 sqmm; ; 
75;May;Christopher Masukume;240V;16 sqmm; ; 
76;May;Christopher Masukume;240V;16 sqmm; ; 
77;May;Christopher Masukume;240V;16 sqmm; ; 
78;May;Christopher Masukume;240V;16 sqmm; ; 
