FID;Loading_Month;Loaded_By;TYPE;sub;OperatingV
0;May;Christopher Masukume;LV; ;400V
1;May;Christopher Masukume;LV; ;400V
2;May;Christopher Masukume;LV; ;400V
3;May;Christopher Masukume;LV; ;400V
4;May;Christopher Masukume;LV; ;400V
5;May;Christopher Masukume;LV; ;400V
6;May;Christopher Masukume;LV; ;400V
7;May;Christopher Masukume;LV; ;400V
8;May;Christopher Masukume;LV; ;400V
9;May;Christopher Masukume;LV; ;400V
10;May;Christopher Masukume;LV; ;400V
11;May;Christopher Masukume;LV; ;400V
12;May;Christopher Masukume;LV; ;400V
13;May;Christopher Masukume;LV; ;400V
14;May;Christopher Masukume;LV; ;400V
15;May;Christopher Masukume;LV; ;400V
16;May;Christopher Masukume;LV; ;400V
17;May;Christopher Masukume;LV; ;400V
18;May;Christopher Masukume;LV; ;400V
19;May;Christopher Masukume;LV; ;400V
20;May;Christopher Masukume;LV; ;400V
21;May;Christopher Masukume;LV; ;400V
22;May;Christopher Masukume;LV; ;400V
23;May;Christopher Masukume;LV; ;400V
24;May;Christopher Masukume;LV; ;400V
25;May;Christopher Masukume;LV; ;400V
26;May;Christopher Masukume;LV; ;400V
27;May;Christopher Masukume;LV; ;400V
28;May;Christopher Masukume;LV; ;400V
29;May;Christopher Masukume;LV; ;400V
30;May;Christopher Masukume;LV; ;400V
31;May;Christopher Masukume;LV; ;400V
32;May;Christopher Masukume;LV; ;400V
33;May;Christopher Masukume;LV; ;400V
34;May;Christopher Masukume;LV; ;400V
35;May;Christopher Masukume;LV; ;400V
36;May;Christopher Masukume;LV; ;400V
37;May;Christopher Masukume;LV; ;400V
38;May;Christopher Masukume;LV; ;400V
39;May;Christopher Masukume;LV; ;400V
40;May;Christopher Masukume;LV; ;400V
41;May;Christopher Masukume;LV; ;400V
42;May;Christopher Masukume;LV; ;400V
43;May;Christopher Masukume;LV; ;400V
44;May;Christopher Masukume;LV; ;400V
45;May;Christopher Masukume;LV; ;400V
46;May;Christopher Masukume;LV; ;400V
47;May;Christopher Masukume;LV; ;400V
48;May;Christopher Masukume;LV; ;400V
49;May;Christopher Masukume;LV; ;400V
50;May;Christopher Masukume;LV; ;400V
51;May;Christopher Masukume;LV; ;400V
52;May;Christopher Masukume;LV; ;400V
53;May;Christopher Masukume;LV; ;400V
54;May;Christopher Masukume;LV; ;400V
