FID;PoleHeight;PoleMateri;BPC_No;PoleType;Subtype;OperatingV;SizeForCon;Configurat;Enabled;PoleStruct;DualStatus;Grounded;Services3p;ServicesU1;ServicesO;WireSuppor;WirestayNo;PoleSuppor;VoltageFor;WoNumber;ID;ServicesU
0;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;1; ;3;1;0;1;1;0005102762;0; 
1;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1; ; ; ;1;0;1;1;0005102762;0; 
2;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0; ;2; ;1;0;1;1;0005105838;0; 
3;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1; ;1; ;1;1;1;1;0005105838;0; 
4;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;2;1;1;0000364584;0; 
5;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;2;0;1;1;0000364584;0; 
6;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;0005106017;0; 
7;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0; ;1; ;1;0;1;1;0005106017;0; 
8;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0; ;1; ;1;0;1;1;0005107535;0; 
9;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;0005107535;0; 
10;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1; ;1; ;1;1;1;1;40421977;0; 
11;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;0;2;1;40421977;0; 
12;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0; ;1; ;1;0;1;1;0005104537;0; 
13;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;2;1;0005104537;0; 
14;11;Wood; ;Dual;Pole;11000;25/50 sqmm;8;1;INTER/ANGLE;4;1;1; ; ;1;1;1;7;0000362804;0; 
15;11;Wood; ;Dual;Pole;11000;25/50 sqmm;8;1;INTER/ANGLE;1;0; ;1; ;1;0;2;7;0000362804;0; 
16;9;Wood; ;LV;Pole;400;50sqmm;1;1; ;7;0; ;1; ;1;0;2;1;0000383601;0; 
17;9;Wood; ;LV;Pole;400;50sqmm;1;1; ;7;0; ;1; ;1;0;2;1;0000383601;0; 
18;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;0000473007;0; 
19;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;0; ;1; ;1;0;1;1;0000473007;0; 
20;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;1; ; ;1;1;1;1;0000473129;0; 
21;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;1; ; ;1;1;1;1;0000473129;0; 
22;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;0005087457;0; 
23;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;0; ;1; ;1;0;2;1;0005087457;0; 
24;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;2;0;1;1;0005107195;0; 
25;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;1; ; ;1;1;1;1;0005107195;0; 
26;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;2;0;2;1;40376793;0; 
27;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1; ;1; ;1;1;1;1;40376793;0; 
28;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;40462255;0; 
29;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ;1; ;1;1;1;1;40462255;0; 
30;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1; ; ;1;1;1;1;1;0000456785;1; 
31;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1; ;2;1;1;1;1;1;0000456785;2; 
32;11;Wood; ;Dual;Pole;11000;25/50 sqmm;4;1;INTERMEDIATE;2;1; ;1;1;1;0;1;7;0000458177;1; 
33;11;Wood; ;Dual;Pole;11000;25/50 sqmm;4;1;T/OFF;3;1; ; ; ;1;0;1;7;0000458177;2; 
