BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000466268;No Stay;9;No Wire stay;7;2; ; ;0
 ;3BC/ABC;TRUE;YES;Wood;11000;T/OFF;None;Dual;Pole; ;50/50 sqmm;3;0000467764;No Stay;11;1 Wire stay;7;None; ; ;0
 ;3BC/ABC;TRUE;NO;Wood;11000;STRAIN;Strut Pole;Dual;Pole; ;50/50 sqmm;3;0000467764;Out Rigger Stay;11;No Wire stay;7;None; ; ;0
 ;3BC/ABC;TRUE;NO;Wood;11000;STRAIN;None;Dual;Pole; ;50/50 sqmm;3;0000467764;Double OutRigger Stay;11;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000467764;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000467764;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000467764;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000467764;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000467764;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000467764;No Stay;9;1 Wire stay;7;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000467766;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;TRUE;NO;Wood;400;T/OFF;Strut Pole;LV;Pole; ;50 sqmm;1;0000472536;No Stay;9;No Wire stay;7;2; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000477519;No Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;FALSE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000472742;No Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole; ;50 sqmm;1; 0000472742;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;Strut Pole;LV;Pole; ;50 sqmm;1; 0000472742;No Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000472573;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;TEMPERED;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;2;50 sqmm;1;0000469103;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;TEMPERED;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000469103;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;TEMPERED;Wood;400;TERMINAL;Strut Pole;LV;Pole;2;50 sqmm;1;0000469103;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000426343;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000426343;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Double Strut Pole;LV;Pole;0;50 sqmm;1;0000426343;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;1;50 sqmm;1;0000462270;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000462270;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000462270;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000476403;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000476403;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000478947;No Stay;9;1 Wire stay;7;1; ; ;0
N/A;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;0000478947;No Stay;9;1 Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;1 Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;1 Wire stay;7;1; ; ;0
None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;No Wire stay;7;1; ; ;0
None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;2 Wire stay;7;None; ; ;0
None;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;No Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000451040;No Stay;9;1 Wire stay;7;1; ; ;0
None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000461432;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
None;ABC;TRUE;NO;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;0000461432;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;0000461432;Out Rigger Stay;9;1 Wire stay;7;2; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000461432;No Stay;9;1 Wire stay;7;1; ; ;0
None;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;1;50 sqmm;1;0000469408;No Stay;9;No Wire stay;7;None; ; ;0
None;ABC;TRUE;NO;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000469408;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000475412;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
